"Date","TikTok Profiles","Published Posts","Net Follower Growth","Followers","Video Views","Impressions","Engagements","Engagement Rate (per Impression)","Likes","Comments","Shares","Profile Views"
"10-03-2025","'@devilsreserve","0","0","19","1","1","0","0%","0","0","0","1"
"10-04-2025","'@devilsreserve","0","0","19","20","20","0","0%","0","0","0","0"
"10-05-2025","'@devilsreserve","0","1","20","22","22","2","9.09%","2","0","0","4"
"10-06-2025","'@devilsreserve","0","0","20","12","12","0","0%","0","0","0","1"
"10-07-2025","'@devilsreserve","1","0","20","71","71","1","1.41%","1","0","0","1"
"10-08-2025","'@devilsreserve","0","1","21","40","40","1","2.5%","1","0","0","1"
"10-09-2025","'@devilsreserve","0","0","21","9","9","0","0%","0","0","0","0"
"10-10-2025","'@devilsreserve","0","0","21","7","7","0","0%","0","0","0","0"
"10-11-2025","'@devilsreserve","0","0","21","13","13","0","0%","0","0","0","0"
"10-12-2025","'@devilsreserve","0","0","21","25","25","0","0%","0","0","0","3"
"10-13-2025","'@devilsreserve","1","0","21","98","98","0","0%","0","0","0","1"
"10-14-2025","'@devilsreserve","0","1","22","15","15","4","26.67%","3","1","0","2"
"10-15-2025","'@devilsreserve","0","0","22","11","11","0","0%","0","0","0","2"
"10-16-2025","'@devilsreserve","0","0","22","10","10","0","0%","0","0","0","0"
"10-17-2025","'@devilsreserve","0","0","22","19","19","0","0%","0","0","0","2"
"10-18-2025","'@devilsreserve","0","-1","21","6","6","0","0%","0","0","0","0"
"10-19-2025","'@devilsreserve","0","0","21","10","10","0","0%","0","0","0","0"
"10-20-2025","'@devilsreserve","0","0","21","6","6","0","0%","0","0","0","1"
"10-21-2025","'@devilsreserve","0","0","21","8","8","1","12.5%","1","0","0","1"
"10-22-2025","'@devilsreserve","0","0","21","18","18","0","0%","0","0","0","0"
"10-23-2025","'@devilsreserve","0","0","21","15","15","0","0%","0","0","0","0"
"10-24-2025","'@devilsreserve","0","0","21","16","16","0","0%","0","0","0","0"
"10-25-2025","'@devilsreserve","0","0","21","26","26","1","3.85%","1","0","0","1"
"10-26-2025","'@devilsreserve","0","0","21","15","15","0","0%","0","0","0","2"
